"Plant Type","Plant Name","Min pH","Max pH","Max C/N","Min GI(%)","Max EC","Min TN(%)","Min OM(%)","Suitability Notes"
"Tropical Fruit","Pineapple","5.5","7.0","25","75","3.0","1.5","60","Acid tolerant; OM for fruits"
"Tropical Fruit","Jackfruit","6.0","7.5","22","80","3.5","1.7","55","Local tree; nitrate boost"
"Tropical Fruit","Sapota (Chikoo)","6.5","7.8","20","82","3.2","1.8","52","Sweet fruits; stable pH"
"Tropical Fruit","Custard Apple","6.0","7.5","25","80","3.0","1.6","58","Tropical; high GI needed"
"Tropical Fruit","Jamun (Java Plum)","6.2","7.5","22","78","3.5","1.7","55","Monsoon crop; low Ammonia"
"Tropical Fruit","Litchi","5.8","7.2","28","75","2.8","1.5","60","Humid climate match"
"Melon Fruit","Watermelon","6.0","7.0","18","85","3.0","2.0","55","Vine; high Score essential"
"Melon Fruit","Muskmelon","6.0","7.5","20","82","2.5","1.8","58","Sweetness from TN"
"Nightshade Veg","Brinjal (Eggplant)","6.0","7.2","20","80","3.2","1.9","55","Local staple; OM retention"
"Gourd Veg","Bottle Gourd","6.0","7.5","22","80","3.0","1.7","60","Prolific; low EC"
"Gourd Veg","Snake Gourd","6.2","7.5","25","78","3.5","1.6","55","Karnataka favorite"
"Gourd Veg","Ash Gourd","6.5","7.8","20","82","3.0","1.8","52","Large fruits; stable compost"
"Tree Vegetable","Drumstick (Moringa)","6.0","7.5","18","85","3.2","2.0","58","Pods/leaves; high TN"
"Leafy Green","Amaranth","6.0","7.5","22","80","2.8","2.1","55","Rapid growth; high GI"
"Leafy Green","Fenugreek","6.2","7.2","25","75","2.5","1.7","60","Microgreens; GI boost"
"Legume Veg","Cluster Beans","6.0","7.5","20","80","3.0","1.6","52","Local legume"
"Leafy Green","Cowpea Leaves","6.5","7.8","22","78","3.2","1.8","55","Dual purpose"
"Root Crop","Colocasia (Taro)","6.0","7.0","25","75","3.5","1.5","65","Wetland crop; high OM"
"Annual Herb","Coriander","6.0","7.5","20","85","2.0","1.9","55","Quick cycle; low salts"
"Leafy Herb","Fenugreek Leaves","6.2","7.2","22","80","2.5","1.7","58","Aromatic greens"
"Perennial Herb","Ajwain (Carom)","6.0","7.5","25","78","3.0","1.6","52","Spice; drought tolerant"
"Perennial Herb","Asafoetida Plant","6.5","7.8","20","75","3.2","1.8","55","Resin crop"
"Cut Flower","Chrysanthemum","6.0","7.0","18","85","2.8","2.0","60","High GI for blooms"
"Cut Flower","Gerbera","6.0","7.2","20","82","2.5","1.9","58","Commercial; pH precise"
"Annual Flower","Zinnia","6.0","7.5","22","80","3.0","1.7","55","Colorful annual"
"Annual Flower","Sunflower (dwarf)","6.2","7.5","25","78","3.5","1.6","52","Easy grower"
"Annual Flower","Petunia","6.0","7.0","20","85","2.8","1.8","60","Hanging baskets"
"Succulent Flower","Portulaca","6.0","7.5","22","75","3.2","1.5","55","Groundcover"
"Cereal Grain","Ragi (Finger Millet)","6.0","7.5","25","80","3.5","1.4","50","Karnataka staple"
"Cereal Grain","Foxtail Millet","6.2","7.8","28","75","4.0","1.3","52","Drought resistant"
"Cereal Grain","Sweet Corn","6.0","7.5","18","85","3.0","2.2","60","Baby corn variety"
"Root Crop","Arrowroot","6.0","7.2","22","80","3.2","1.7","55","Starch crop"
"Tuber Crop","Yam","5.8","7.0","25","75","3.0","1.6","65","High OM essential"
"Tuber Crop","Cassava","6.0","7.5","20","78","3.5","1.5","58","Root crop"
"Stem Vegetable","Curry Banana","6.2","7.5","22","80","3.0","1.8","60","Stem harvest"
"Green Manure","Dhaincha","6.0","7.8","25","75","3.2","1.6","52","N-fixer"
"Green Manure","Sesbania","6.5","7.5","20","82","3.0","1.7","55","Soil improver"
"Flowering Shrub","Ixora","6.0","7.5","22","80","3.5","1.5","55","Jungle geranium"
"Flowering Shrub","Allamanda","6.2","7.5","25","78","3.0","1.6","58","Golden trumpet"
"Flowering Shrub","Plumbago","6.0","7.2","20","85","2.8","1.8","55","White flowers"
"Timber Tree","Teak (seedling)","6.5","8.0","28","75","4.0","1.4","52","Long-term growth"
"Shade Tree","Silver Oak","6.0","7.5","22","80","3.2","1.7","55","Nitrogen fixer"
"Ornamental Grass","Bamboo (clump)","6.2","7.8","25","78","3.5","1.5","60","Fast screening"
"Medicinal Root","Ashwagandha","7.0","8.0","20","75","3.0","1.6","52","Root tonic"
"Medicinal Succulent","Aloe (Indian)","6.5","7.8","22","80","3.2","1.7","55","Gel extraction"
"Aquatic Herb","Brahmi","6.0","7.5","25","78","2.5","1.8","58","Brain tonic"
"Foliage Plant","Croton","6.0","7.5","20","82","3.0","1.6","55","Color variety"
"Indoor Foliage","Aglaonema","6.2","7.2","22","80","2.8","1.7","60","Low light tolerant"
"Climbing Vine","Philodendron","6.0","7.5","25","75","3.2","1.5","58","Indoor climber"